Set,Release Date,Card Name,# Cubes,Card No.,Mana Cost,Type,Rarity,Price
Limited Edition Alpha,1993-08-05,Unsummon,2,86,{U},Instant,common,63.28
Limited Edition Alpha,1993-08-05,Llanowar Elves,27,210,{G},Creature — Elf Druid,common,339.98
Limited Edition Beta,1993-10-04,Unsummon,2,87,{U},Instant,common,15.22
Limited Edition Beta,1993-10-04,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,113.33
Unlimited Edition,1993-12-01,Unsummon,2,87,{U},Instant,common,0.98
Unlimited Edition,1993-12-01,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,14.71
Intl. Collectors' Edition,1993-12-10,Unsummon,2,87,{U},Instant,common,5.70
Collectors' Edition,1993-12-10,Unsummon,2,87,{U},Instant,common,5.79
Intl. Collectors' Edition,1993-12-10,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,
Collectors' Edition,1993-12-10,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,26.73
Revised Edition,1994-04-01,Unsummon,2,87,{U},Instant,common,0.18
Foreign Black Border,1994-04-01,Unsummon,2,87,{U},Instant,common,
Revised Edition,1994-04-01,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,0.32
Foreign Black Border,1994-04-01,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,12.95
Summer Magic / Edgar,1994-06-21,Unsummon,2,87,{U},Instant,common,
Summer Magic / Edgar,1994-06-21,Llanowar Elves,27,211,{G},Creature — Elf Druid,common,
Fourth Edition,1995-04-01,Unsummon,2,111,{U},Instant,common,0.07
Fourth Edition Foreign Black Border,1995-04-01,Unsummon,2,111,{U},Instant,common,1.50
Fourth Edition,1995-04-01,Llanowar Elves,27,261,{G},Creature — Elf Druid,common,0.34
Fourth Edition Foreign Black Border,1995-04-01,Llanowar Elves,27,261,{G},Creature — Elf Druid,common,11.48
Pro Tour Collector Set,1996-05-01,Llanowar Elves,27,bl261,{G},Creature — Elf Druid,common,4.75
Rivals Quick Start Set,1996-07-01,Unsummon,2,13,{U},Instant,common,
Mirage,1996-10-08,Pacifism,11,32,{1}{W},Enchantment — Aura,common,0.16
Introductory Two-Player Set,1996-12-31,Unsummon,2,14,{U},Instant,common,2.00
Visions,1997-02-03,Impulse,14,34,{1}{U},Instant,common,0.58
Fifth Edition,1997-03-24,Unsummon,2,132,{U},Instant,common,0.20
Fifth Edition,1997-03-24,Llanowar Elves,27,313,{G},Creature — Elf Druid,common,0.38
World Championship Decks 1997,1997-08-13,Impulse,14,jk34,{1}{U},Instant,common,0.29
Tempest,1997-10-14,Pacifism,11,34,{1}{W},Enchantment — Aura,common,0.12
Stronghold,1998-03-02,Youthful Knight,4,25,{1}{W},Creature — Human Knight,common,0.17
Stronghold,1998-03-02,Fling,5,82,{1}{R},Instant,common,0.22
Stronghold,1998-03-02,Shock,5,98,{R},Instant,common,0.22
Portal Second Age,1998-06-24,Sleight of Hand,3,46,{U},Sorcery,common,5.23
World Championship Decks 1998,1998-08-12,Shock,5,br98b,{R},Instant,common,0.15
World Championship Decks 1998,1998-08-12,Impulse,14,rb34,{1}{U},Instant,common,0.34
Urza's Saga,1998-10-12,Pacifism,11,27,{1}{W},Enchantment — Aura,common,0.12
Anthologies,1998-11-01,Pacifism,11,10,{1}{W},Enchantment — Aura,common,0.13
Anthologies,1998-11-01,Youthful Knight,4,19,{1}{W},Creature — Human Knight,common,0.19
Anthologies,1998-11-01,Llanowar Elves,27,59,{G},Creature — Elf Druid,common,0.44
Classic Sixth Edition,1999-04-21,Pacifism,11,33,{1}{W},Enchantment — Aura,common,0.10
Classic Sixth Edition,1999-04-21,Unsummon,2,103,{U},Instant,common,0.09
Classic Sixth Edition,1999-04-21,Shock,5,206,{R},Instant,common,0.20
Classic Sixth Edition,1999-04-21,Llanowar Elves,27,239,{G},Creature — Elf Druid,common,0.35
Starter 1999,1999-07-01,Sleight of Hand,3,51,{U},Sorcery,common,0.90
World Championship Decks 1999,1999-08-04,Shock,5,mlp98,{R},Instant,common,0.25
World Championship Decks 1999,1999-08-04,Llanowar Elves,27,ml239,{G},Creature — Elf Druid,common,1.68
Battle Royale Box Set,1999-11-12,Llanowar Elves,27,39,{G},Creature — Elf Druid,common,0.94
Battle Royale Box Set,1999-11-12,Pacifism,11,48,{1}{W},Enchantment — Aura,common,0.20
Friday Night Magic 2000,2000-01-01,Shock,5,6,{R},Instant,rare,
Friday Night Magic 2000,2000-01-01,Llanowar Elves,27,11,{G},Creature — Elf Druid,rare,
Media Inserts,2000-05-01,Phyrexian Rager,23,14,{2}{B},Creature — Phyrexian Horror,common,
World Championship Decks 2000,2000-08-02,Llanowar Elves,27,jk239,{G},Creature — Elf Druid,common,0.54
Beatdown Box Set,2000-10-01,Impulse,14,10,{1}{U},Instant,common,1.39
Beatdown Box Set,2000-10-01,Shock,5,45,{R},Instant,common,0.35
Beatdown Box Set,2000-10-01,Llanowar Elves,27,58,{G},Creature — Elf Druid,common,0.99
Invasion,2000-10-02,Opt,16,64,{U},Instant,common,0.40
Arena League 2001,2001-01-01,Fling,5,6,{1}{R},Instant,rare,
Friday Night Magic 2001,2001-01-01,Impulse,14,11,{1}{U},Instant,rare,
Seventh Edition,2001-04-11,Pacifism,11,29,{1}{W},Enchantment — Aura,common,0.12
Seventh Edition,2001-04-11,Sleight of Hand,3,98,{U},Sorcery,common,0.42
Seventh Edition,2001-04-11,Unsummon,2,108,{U},Instant,common,0.14
Seventh Edition,2001-04-11,Shock,5,219,{R},Instant,common,0.19
Seventh Edition,2001-04-11,Llanowar Elves,27,253,{G},Creature — Elf Druid,common,0.36
Apocalypse,2001-06-04,Phyrexian Rager,23,49,{2}{B},Creature — Phyrexian Horror,common,0.19
World Championship Decks 2001,2001-08-08,Opt,16,ar64,{U},Instant,common,3.52
World Championship Decks 2001,2001-08-08,Llanowar Elves,27,jt253,{G},Creature — Elf Druid,common,2.97
World Championship Decks 2002,2002-08-14,Llanowar Elves,27,bk253,{G},Creature — Elf Druid,common,3.47
Onslaught,2002-10-07,Pacifism,11,47,{1}{W},Enchantment — Aura,common,0.16
Onslaught,2002-10-07,Shock,5,227,{R},Instant,common,0.17
Eighth Edition,2003-07-28,Pacifism,11,33,{1}{W},Enchantment — Aura,common,0.07
Eighth Edition,2003-07-28,Unsummon,2,112,{U},Instant,common,0.10
Eighth Edition,2003-07-28,Shock,5,222,{R},Instant,common,0.08
World Championship Decks 2003,2003-08-06,Unsummon,2,dh112,{U},Instant,common,1.18
Mirrodin,2003-10-02,Raise the Alarm,20,16,{1}{W},Instant,common,0.10
World Championship Decks 2004,2004-09-01,Pacifism,11,gn33sb,{1}{W},Enchantment — Aura,common,0.30
Ninth Edition,2005-07-29,Pacifism,11,31,{1}{W},Enchantment — Aura,common,0.10
Ninth Edition,2005-07-29,Sleight of Hand,3,99,{U},Sorcery,common,0.38
Ninth Edition,2005-07-29,Shock,5,220,{R},Instant,common,0.09
Ninth Edition,2005-07-29,Llanowar Elves,27,253,{G},Creature — Elf Druid,common,0.28
Salvat 2005,2005-08-22,Pacifism,11,G42,{1}{W},Enchantment — Aura,common,
Salvat 2005,2005-08-22,Shock,5,I53,{R},Instant,common,
Dissension,2006-05-05,Macabre Waltz,3,47,{1}{B},Sorcery,common,0.10
Time Spiral,2006-10-06,Cancel,1,51,{1}{U}{U},Instant,common,0.49
Tenth Edition,2007-07-13,Pacifism,11,31,{1}{W},Enchantment — Aura,common,0.06
Tenth Edition,2007-07-13,Youthful Knight,4,62,{1}{W},Creature — Human Knight,common,0.08
Tenth Edition,2007-07-13,Cancel,1,71,{1}{U}{U},Instant,common,0.10
Tenth Edition,2007-07-13,Unsummon,2,122,{U},Instant,common,0.20
Tenth Edition,2007-07-13,Phyrexian Rager,23,167,{2}{B},Creature — Phyrexian Horror,common,0.09
Tenth Edition,2007-07-13,Shock,5,232,{R},Instant,common,0.15
Tenth Edition,2007-07-13,Llanowar Elves,27,274,{G},Creature — Elf Druid,common,0.35
DCI Promos,2007-10-01,Llanowar Elves,27,9,{G},Creature — Elf Druid,rare,
Duel Decks: Elves vs. Goblins,2007-11-16,Llanowar Elves,27,9,{G},Creature — Elf Druid,common,0.33
Morningtide,2008-02-01,Disperse,1,31,{1}{U},Instant,common,0.20
Morningtide,2008-02-01,Ambassador Oak,2,113,{3}{G},Creature — Treefolk Warrior,common,0.12
Shards of Alara,2008-10-03,Cancel,1,33,{1}{U}{U},Instant,common,0.04
Shards of Alara,2008-10-03,Bone Splinters,1,67,{B},Sorcery,common,0.09
Shards of Alara,2008-10-03,Dragon Fodder,5,97,{1}{R},Sorcery,common,0.17
Conflux,2009-02-06,Unsummon,2,37,{U},Instant,common,0.08
Duel Decks: Divine vs. Demonic,2009-04-10,Pacifism,11,17,{1}{W},Enchantment — Aura,common,0.24
Magic 2010,2009-07-17,Pacifism,11,22,{1}{W},Enchantment — Aura,common,0.06
Magic 2010,2009-07-17,Cancel,1,44,{1}{U}{U},Instant,common,0.03
Magic 2010,2009-07-17,Divination,1,49,{2}{U},Sorcery,common,0.16
Magic 2010,2009-07-17,Essence Scatter,6,51,{1}{U},Instant,common,0.09
Magic 2010,2009-07-17,Unsummon,2,79,{U},Instant,common,0.10
Magic 2010,2009-07-17,Child of Night,1,88,{1}{B},Creature — Vampire,common,0.01
Magic 2010,2009-07-17,Act of Treason,4,124,{2}{R},Sorcery,uncommon,0.11
Magic 2010,2009-07-17,Llanowar Elves,27,189,{G},Creature — Elf Druid,common,0.28
Zendikar,2009-10-02,Cancel,1,44,{1}{U}{U},Instant,common,0.07
Duel Decks: Garruk vs. Liliana,2009-10-30,Phyrexian Rager,23,39,{2}{B},Creature — Phyrexian Horror,common,0.08
Magic Player Rewards 2010,2010-01-01,Cancel,1,2,{1}{U}{U},Instant,rare,1.72
Rise of the Eldrazi,2010-04-23,Cadaver Imp,6,99,{1}{B}{B},Creature — Imp,common,0.17
Rise of the Eldrazi,2010-04-23,Goblin Arsonist,1,147,{R},Creature — Goblin Shaman,common,0.08
Rise of the Eldrazi,2010-04-23,Evolving Wilds,28,228,,Land,common,0.16
Duels of the Planeswalkers,2010-06-04,Cancel,1,3,{1}{U}{U},Instant,common,0.25
Duels of the Planeswalkers,2010-06-04,Essence Scatter,6,8,{1}{U},Instant,common,0.19
Duels of the Planeswalkers,2010-06-04,Unsummon,2,17,{U},Instant,common,0.27
Duels of the Planeswalkers,2010-06-04,Act of Treason,4,37,{2}{R},Sorcery,uncommon,0.09
Duels of the Planeswalkers,2010-06-04,Shock,5,54,{R},Instant,common,0.25
Archenemy,2010-06-18,Chandra's Outrage,2,32,{2}{R}{R},Instant,common,0.15
Archenemy,2010-06-18,Dragon Fodder,5,34,{1}{R},Sorcery,common,0.24
Media Inserts,2010-06-27,Chandra's Outrage,2,18,{2}{R}{R},Instant,common,
Magic 2011,2010-07-16,Inspired Charge,2,19,{2}{W}{W},Instant,common,0.01
Magic 2011,2010-07-16,Pacifism,11,23,{1}{W},Enchantment — Aura,common,0.06
Magic 2011,2010-07-16,Cancel,1,48,{1}{U}{U},Instant,common,0.02
Magic 2011,2010-07-16,Unsummon,2,78,{U},Instant,common,0.08
Magic 2011,2010-07-16,Child of Night,1,88,{1}{B},Creature — Vampire,common,0.03
Magic 2011,2010-07-16,Act of Treason,4,121,{2}{R},Sorcery,common,0.05
Magic 2011,2010-07-16,Chandra's Outrage,2,128,{2}{R}{R},Instant,common,0.06
Magic 2011,2010-07-16,Fling,5,139,{1}{R},Instant,common,0.07
Magic 2011,2010-07-16,Llanowar Elves,27,184,{G},Creature — Elf Druid,common,0.28
Duel Decks: Elspeth vs. Tezzeret,2010-09-03,Raise the Alarm,20,25,{1}{W},Instant,common,0.14
Scars of Mirrodin,2010-10-01,Disperse,1,31,{1}{U},Instant,common,0.05
Salvat 2011,2011-01-01,Pacifism,11,15,{1}{W},Enchantment — Aura,common,
Salvat 2011,2011-01-01,Youthful Knight,4,25,{1}{W},Creature — Human Knight,common,
Salvat 2011,2011-01-01,Cancel,1,28,{1}{U}{U},Instant,common,
Salvat 2011,2011-01-01,Divination,1,33,{2}{U},Sorcery,common,
Salvat 2011,2011-01-01,Essence Scatter,6,35,{1}{U},Instant,common,
Salvat 2011,2011-01-01,Unsummon,2,59,{U},Instant,common,
Salvat 2011,2011-01-01,Act of Treason,4,90,{2}{R},Sorcery,uncommon,
Salvat 2011,2011-01-01,Dragon Fodder,5,98,{1}{R},Sorcery,common,
Salvat 2011,2011-01-01,Shock,5,121,{R},Instant,common,
Masters Edition IV,2011-01-10,Sleight of Hand,3,62,{U},Sorcery,common,
Mirrodin Besieged,2011-02-04,Phyrexian Rager,23,51,{2}{B},Creature — Phyrexian Horror,common,0.03
Duel Decks: Knights vs. Dragons,2011-04-01,Dragon Fodder,5,65,{1}{R},Sorcery,common,0.18
DCI Promos,2011-05-31,Fling,5,69,{1}{R},Instant,rare,
Commander 2011,2011-06-17,Evolving Wilds,28,272,,Land,common,0.13
Magic 2012,2011-07-15,Pacifism,11,28,{1}{W},Enchantment — Aura,common,0.02
Magic 2012,2011-07-15,Cancel,1,47,{1}{U}{U},Instant,common,0.05
Magic 2012,2011-07-15,Divination,1,50,{2}{U},Sorcery,common,0.03
Magic 2012,2011-07-15,Unsummon,2,79,{U},Instant,common,0.06
Magic 2012,2011-07-15,Child of Night,1,87,{1}{B},Creature — Vampire,common,0.04
Magic 2012,2011-07-15,Act of Treason,4,121,{2}{R},Sorcery,common,0.04
Magic 2012,2011-07-15,Chandra's Outrage,2,125,{2}{R}{R},Instant,common,0.05
Magic 2012,2011-07-15,Fling,5,134,{1}{R},Instant,common,0.09
Magic 2012,2011-07-15,Goblin Arsonist,1,136,{R},Creature — Goblin Shaman,common,0.03
Magic 2012,2011-07-15,Shock,5,154,{R},Instant,common,0.05
Magic 2012,2011-07-15,Llanowar Elves,27,182,{G},Creature — Elf Druid,common,0.27
Magic 2012,2011-07-15,Titanic Growth,1,198,{1}{G},Instant,common,0.04
Duel Decks: Ajani vs. Nicol Bolas,2011-09-02,Evolving Wilds,28,32,,Land,common,0.08
Innistrad,2011-09-30,Cobbled Wings,1,219,{2},Artifact — Equipment,common,0.05
Innistrad,2011-09-30,Traveler's Amulet,2,234,{1},Artifact,common,0.07
Friday Night Magic 2012,2012-01-01,Evolving Wilds,28,10,,Land,rare,
Dark Ascension,2012-02-03,Divination,1,35,{2}{U},Sorcery,common,0.04
Dark Ascension,2012-02-03,Fling,5,90,{1}{R},Instant,common,0.10
Dark Ascension,2012-02-03,Evolving Wilds,28,155,,Land,common,0.14
Avacyn Restored,2012-05-04,Bone Splinters,1,88,{B},Sorcery,common,0.05
Avacyn Restored,2012-05-04,Vorstclaw,1,201,{4}{G}{G},Creature — Elemental Horror,uncommon,0.11
Planechase 2012,2012-06-01,Cancel,1,15,{1}{U}{U},Instant,common,0.15
Planechase 2012,2012-06-01,Cadaver Imp,6,31,{1}{B}{B},Creature — Imp,common,0.48
Planechase 2012,2012-06-01,Fling,5,44,{1}{R},Instant,common,0.22
Magic 2013,2012-07-13,Pacifism,11,24,{1}{W},Enchantment — Aura,common,0.02
Magic 2013,2012-07-13,Divination,1,47,{2}{U},Sorcery,common,0.04
Magic 2013,2012-07-13,Essence Scatter,6,50,{1}{U},Instant,common,0.11
Magic 2013,2012-07-13,Unsummon,2,75,{U},Instant,common,0.05
Magic 2013,2012-07-13,Murder,7,101,{1}{B}{B},Instant,common,0.06
Magic 2013,2012-07-13,Goblin Arsonist,1,134,{R},Creature — Goblin Shaman,common,0.07
Magic 2013,2012-07-13,Titanic Growth,1,195,{1}{G},Instant,common,0.05
Magic 2013,2012-07-13,Evolving Wilds,28,224,,Land,common,0.08
Return to Ravnica,2012-10-05,Cancel,1,31,{1}{U}{U},Instant,common,0.01
Magic Online Promos,2013-01-11,Impulse,14,36006,{1}{U},Instant,common,
Magic Online Promos,2013-01-11,Cancel,1,36222,{1}{U}{U},Instant,common,
Gatecrash,2013-02-01,Totally Lost,1,54,{4}{U},Instant,common,0.05
Gatecrash,2013-02-01,Act of Treason,4,85,{2}{R},Sorcery,common,0.01
Gatecrash,2013-02-01,Ripscale Predator,1,103,{4}{R}{R},Creature — Dinosaur,uncommon,0.02
Duel Decks: Sorin vs. Tibalt,2013-03-15,Child of Night,1,5,{1}{B},Creature — Vampire,common,0.10
Duel Decks: Sorin vs. Tibalt,2013-03-15,Evolving Wilds,28,33,,Land,common,0.08
Duel Decks: Sorin vs. Tibalt,2013-03-15,Goblin Arsonist,1,42,{R},Creature — Goblin Shaman,common,0.10
Magic 2014,2013-07-19,Pacifism,11,25,{1}{W},Enchantment — Aura,common,0.03
Magic 2014,2013-07-19,Cancel,1,45,{1}{U}{U},Instant,common,0.04
Magic 2014,2013-07-19,Disperse,1,51,{1}{U},Instant,common,0.02
Magic 2014,2013-07-19,Divination,1,52,{2}{U},Sorcery,common,0.04
Magic 2014,2013-07-19,Essence Scatter,6,55,{1}{U},Instant,common,0.07
Magic 2014,2013-07-19,Child of Night,1,89,{1}{B},Creature — Vampire,common,0.06
Magic 2014,2013-07-19,Corpse Hauler,1,90,{1}{B},Creature — Human Rogue,common,0.03
Magic 2014,2013-07-19,Act of Treason,4,125,{2}{R},Sorcery,common,0.02
Magic 2014,2013-07-19,Chandra's Outrage,2,133,{2}{R}{R},Instant,common,0.04
Magic 2014,2013-07-19,Shock,5,155,{R},Instant,common,0.06
Magic 2014,2013-07-19,Rumbling Baloth,1,193,{2}{G}{G},Creature — Beast,common,0.05
From the Vault: Twenty,2013-08-23,Impulse,14,5,{1}{U},Instant,mythic,
Theros,2013-09-27,Omenspeaker,4,57,{1}{U},Creature — Human Wizard,common,0.08
Theros,2013-09-27,Lightning Strike,17,127,{1}{R},Instant,common,0.08
Theros,2013-09-27,Portent of Betrayal,1,133,{3}{R},Sorcery,common,0.07
Theros,2013-09-27,Traveler's Amulet,2,221,{1},Artifact,common,0.03
Commander 2013,2013-11-01,Evolving Wilds,28,287,,Land,common,0.08
Born of the Gods,2014-02-07,Divination,1,36,{2}{U},Sorcery,common,0.03
Modern Event Deck 2014,2014-05-30,Raise the Alarm,20,8,{1}{W},Instant,common,0.14
Magic 2015,2014-07-18,Raise the Alarm,20,26,{1}{W},Instant,common,0.03
Magic 2015,2014-07-18,Divination,1,52,{2}{U},Sorcery,common,0.05
Magic 2015,2014-07-18,Frost Lynx,3,55,{2}{U},Creature — Elemental Cat,common,0.03
Magic 2015,2014-07-18,Child of Night,1,90,{1}{B},Creature — Vampire,common,0.06
Magic 2015,2014-07-18,Borderland Marauder,7,131,{1}{R},Creature — Human Warrior,common,0.05
Magic 2015,2014-07-18,Lightning Strike,17,155,{1}{R},Instant,common,0.09
Magic 2015,2014-07-18,Titanic Growth,1,203,{1}{G},Instant,common,0.01
Magic 2015,2014-07-18,Evolving Wilds,28,243,,Land,common,0.08
Magic 2015,2014-07-18,Inspired Charge,2,272,{2}{W}{W},Instant,common,0.01
Magic 2015,2014-07-18,Cancel,1,274,{1}{U}{U},Instant,common,0.10
Duel Decks: Speed vs. Cunning,2014-09-05,Shock,5,21,{R},Instant,common,0.04
Duel Decks: Speed vs. Cunning,2014-09-05,Bone Splinters,1,22,{B},Sorcery,common,0.09
Duel Decks: Speed vs. Cunning,2014-09-05,Act of Treason,4,26,{2}{R},Sorcery,common,0.06
Duel Decks: Speed vs. Cunning,2014-09-05,Evolving Wilds,28,32,,Land,common,0.13
Duel Decks: Speed vs. Cunning,2014-09-05,Impulse,14,63,{1}{U},Instant,common,0.32
Khans of Tarkir,2014-09-26,Cancel,1,33,{1}{U}{U},Instant,common,0.05
Khans of Tarkir,2014-09-26,Act of Treason,4,95,{2}{R},Sorcery,common,0.06
Magic Online Promos,2014-10-17,Shock,5,32531,{R},Instant,common,
Commander 2014,2014-11-07,Llanowar Elves,27,204,{G},Creature — Elf Druid,common,0.40
Commander 2014,2014-11-07,Evolving Wilds,28,295,,Land,common,0.13
Duel Decks Anthology: Elves vs. Goblins,2014-12-05,Llanowar Elves,27,9,{G},Creature — Elf Druid,common,0.30
Duel Decks Anthology: Divine vs. Demonic,2014-12-05,Pacifism,11,17,{1}{W},Enchantment — Aura,common,0.46
Duel Decks Anthology: Garruk vs. Liliana,2014-12-05,Phyrexian Rager,23,39,{2}{B},Creature — Phyrexian Horror,common,
Duel Decks: Elspeth vs. Kiora,2015-02-27,Raise the Alarm,20,23,{1}{W},Instant,common,0.04
Duel Decks: Elspeth vs. Kiora,2015-02-27,Omenspeaker,4,39,{1}{U},Creature — Human Wizard,common,0.06
Duel Decks: Elspeth vs. Kiora,2015-02-27,Evolving Wilds,28,58,,Land,common,0.10
Dragons of Tarkir,2015-03-27,Pacifism,11,29,{1}{W},Enchantment — Aura,common,0.02
Dragons of Tarkir,2015-03-27,Dragon Fodder,5,135,{1}{R},Sorcery,common,0.12
Dragons of Tarkir,2015-03-27,Evolving Wilds,28,248,,Land,common,0.08
Tarkir Dragonfury,2015-04-03,Dragon Fodder,5,135,{1}{R},Sorcery,common,0.21
Tarkir Dragonfury,2015-04-03,Evolving Wilds,28,248,,Land,common,0.19
Tempest Remastered,2015-05-06,Pacifism,11,22,{1}{W},Enchantment — Aura,uncommon,
Tempest Remastered,2015-05-06,Youthful Knight,4,41,{1}{W},Creature — Human Knight,common,
Modern Masters 2015,2015-05-22,Raise the Alarm,20,31,{1}{W},Instant,common,0.15
Modern Masters 2015,2015-05-22,Bone Splinters,1,73,{B},Sorcery,common,0.04
Modern Masters 2015,2015-05-22,Evolving Wilds,28,241,,Land,common,0.08
Magic Origins,2015-07-17,Disperse,1,54,{1}{U},Instant,common,0.05
Magic Origins,2015-07-17,Macabre Waltz,3,107,{1}{B},Sorcery,common,0.04
Magic Origins,2015-07-17,Act of Treason,4,129,{2}{R},Sorcery,common,0.03
Magic Origins,2015-07-17,Boggart Brute,1,133,{2}{R},Creature — Goblin Warrior,common,0.03
Magic Origins,2015-07-17,Dragon Fodder,5,140,{1}{R},Sorcery,common,0.09
Magic Origins,2015-07-17,Titanic Growth,1,201,{1}{G},Instant,common,0.03
Magic Origins,2015-07-17,Evolving Wilds,28,246,,Land,common,0.08
Duel Decks: Zendikar vs. Eldrazi,2015-08-28,Evolving Wilds,28,31,,Land,common,0.09
Duel Decks: Zendikar vs. Eldrazi,2015-08-28,Cadaver Imp,6,48,{1}{B}{B},Creature — Imp,common,0.20
Battle for Zendikar,2015-10-02,Angelic Gift,4,19,{1}{W},Enchantment — Aura,common,0.08
Battle for Zendikar,2015-10-02,Inspired Charge,2,32,{2}{W}{W},Instant,common,0.02
Battle for Zendikar,2015-10-02,Bone Splinters,1,105,{B},Sorcery,common,0.03
Battle for Zendikar,2015-10-02,Evolving Wilds,28,236,,Land,common,0.08
Commander 2015,2015-11-13,Phyrexian Rager,23,132,{2}{B},Creature — Phyrexian Horror,common,0.06
Commander 2015,2015-11-13,Evolving Wilds,28,283,,Land,common,0.09
Oath of the Gatewatch,2016-01-22,Cinder Barrens,3,168,,Land,uncommon,0.06
Oath of the Gatewatch,2016-01-22,Meandering River,3,173,,Land,uncommon,0.05
Oath of the Gatewatch,2016-01-22,Submerged Boneyard,3,178,,Land,uncommon,0.09
Oath of the Gatewatch,2016-01-22,Timber Gorge,3,179,,Land,uncommon,0.08
Oath of the Gatewatch,2016-01-22,Tranquil Expanse,3,180,,Land,uncommon,0.06
Duel Decks: Blessed vs. Cursed,2016-02-26,Cobbled Wings,1,69,{2},Artifact — Equipment,common,0.09
Welcome Deck 2016,2016-04-08,Disperse,1,5,{1}{U},Instant,common,0.05
Welcome Deck 2016,2016-04-08,Borderland Marauder,7,11,{1}{R},Creature — Human Warrior,common,0.01
Shadows over Innistrad,2016-04-08,Ghoulcaller's Accomplice,2,112,{1}{B},Creature — Human Rogue,common,0.03
Shadows over Innistrad,2016-04-08,Macabre Waltz,3,121,{1}{B},Sorcery,common,0.04
Shadows over Innistrad,2016-04-08,Sanitarium Skeleton,4,133,{B},Creature — Skeleton,common,0.04
Shadows over Innistrad,2016-04-08,Rabid Bite,2,223,{1}{G},Sorcery,common,0.04
Shadows over Innistrad,2016-04-08,Forsaken Sanctuary,3,273,,Land,uncommon,0.13
